"","Date","Open","High","Low","Close","Adj Close","Volume","""t1""","""t2""","""t3""","""t4""","""t5"""
"1",2012-05-01,20.889286,21.312857,20.758215,20.790358,17.722071,610999200,"0","0","1","1","0"
"2",2012-05-02,20.722857,20.978571,20.673571,20.927856,17.839283,427389200,"1","1","0","1","1"
"3",2012-05-03,21.089287,21.121429,20.725,20.779285,17.712635,390549600,"0","0","0","0","0"
"4",2012-05-04,20.610001,20.655714,20.184643,20.1875,17.208193,529992400,"0","0","1","0","0"
"5",2012-05-07,20.053572,20.456072,20.043928,20.338572,17.336958,460118400,"1","1","0","1","1"
"6",2012-05-08,20.342142,20.410713,19.954643,20.292143,17.297382,497252000,"0","0","1","0","0"
"7",2012-05-09,20.132143,20.499287,20.030357,20.327856,17.327831,480704000,"1","1","1","1","1"
"8",2012-05-10,20.520714,20.567142,20.30143,20.375713,17.368618,333200000,"0","0","0","0","0"
"9",2012-05-11,20.178572,20.516787,20.155357,20.239643,17.25264,399546000,"0","0","0","0","0"
"10",2012-05-14,20.091785,20.268213,19.914286,19.936428,16.994167,352626400,"1","0","0","0","1"
"11",2012-05-15,20.051786,20.115,19.705357,19.756071,16.840429,476336000,"1","0","0","0","1"
"12",2012-05-16,19.7875,19.888929,19.322857,19.502857,16.624584,560896000,"0","0","0","0","0"
"13",2012-05-17,19.475357,19.553572,18.932858,18.932858,16.13871,717220000,"1","0","1","0","1"
"14",2012-05-18,19.07,19.407499,18.649286,18.942142,16.146622,732292400,"1","1","1","1","1"
"15",2012-05-21,19.089287,20.055,19.073214,20.045713,17.087328,631106000,"1","1","0","1","1"
"16",2012-05-22,20.34107,20.495714,19.735001,19.891787,16.956112,694870400,"1","0","1","1","1"
"17",2012-05-23,19.910713,20.457144,19.758215,20.377144,17.369848,584897600,"1","1","0","1","1"
"18",2012-05-24,20.566786,20.589287,20.043928,20.190001,17.210314,496230000,"0","0","0","0","0"
"19",2012-05-25,20.163929,20.208929,19.945356,20.081785,17.118073,328507200,"1","1","1","1","1"
"20",2012-05-29,20.389286,20.5,20.189644,20.438213,17.4219,380508800,"0","0","1","1","0"
"21",2012-05-30,20.328571,20.713928,20.234285,20.684643,17.63196,529429600,"1","1","0","1","1"
"22",2012-05-31,20.740713,20.767857,20.409286,20.633215,17.588125,491674400,"0","0","0","0","0"
"23",2012-06-01,20.327143,20.451786,20.018572,20.035357,17.078497,520987600,"1","0","1","0","1"
"24",2012-06-04,20.053572,20.267857,19.589287,20.153214,17.178965,556995600,"0","0","0","1","0"
"25",2012-06-05,20.045357,20.231071,19.940357,20.10107,17.134512,388214400,"1","1","1","1","1"
"26",2012-06-06,20.2775,20.494642,20.196428,20.409286,17.397243,401455600,"1","1","1","1","1"
"27",2012-06-07,20.6175,20.61857,20.375,20.418571,17.405153,379766800,"0","0","1","1","0"
"28",2012-06-08,20.414286,20.735001,20.321428,20.725714,17.666967,347516400,"1","1","0","0","1"
"29",2012-06-11,20.99,21.017857,20.379642,20.39893,17.388414,591264800,"1","0","1","0","1"
"30",2012-06-12,20.51643,20.593571,20.239286,20.577143,17.540321,435380400,"0","1","0","0","0"
"31",2012-06-13,20.518572,20.66,20.370714,20.434286,17.418552,293580000,"0","0","0","0","0"
"32",2012-06-14,20.401428,20.482143,20.259287,20.411785,17.399372,345573200,"0","0","1","1","0"
"33",2012-06-15,20.392857,20.522142,20.34107,20.504642,17.478519,335255200,"0","0","1","1","0"
"34",2012-06-18,20.39143,20.996071,20.370358,20.920713,17.833189,440412000,"0","1","1","1","0"
"35",2012-06-19,20.835714,21.071428,20.825001,20.97893,17.88282,361404400,"1","1","0","1","1"
"36",2012-06-20,21.0075,21.044643,20.742857,20.919287,17.831972,358943200,"0","0","0","0","0"
"37",2012-06-21,20.908571,21.007856,20.622856,20.631071,17.586294,326351200,"1","0","1","0","1"
"38",2012-06-22,20.68,20.7925,20.550714,20.789286,17.721161,284471600,"0","0","0","0","0"
"39",2012-06-25,20.617857,20.707144,20.370358,20.384644,17.376234,304382400,"1","0","1","0","1"
"40",2012-06-26,20.404642,20.5175,20.261786,20.429644,17.414593,276536400,"1","1","1","1","1"
"41",2012-06-27,20.535713,20.597857,20.425714,20.517857,17.489786,202997200,"0","0","0","0","0"
"42",2012-06-28,20.416786,20.5,20.200357,20.323214,17.323874,282836400,"1","1","1","1","1"
"43",2012-06-29,20.642857,20.857143,20.508928,20.857143,17.778999,421500800,"1","1","1","1","1"
"44",2012-07-02,20.883215,21.195356,20.842857,21.161428,18.03838,400092000,"1","1","1","1","1"
"45",2012-07-03,21.245714,21.428572,21.214287,21.407499,18.248131,241712800,"1","1","1","1","1"
"46",2012-07-05,21.44857,21.940714,21.416071,21.783571,18.568708,484383200,"0","1","0","1","0"
"47",2012-07-06,21.681786,21.73,21.485001,21.638571,18.445108,418930400,"0","0","1","1","0"
"48",2012-07-09,21.617857,21.924999,21.575357,21.924643,18.688953,379405600,"1","1","0","1","1"
"49",2012-07-10,22.070356,22.138214,21.618214,21.721786,18.516041,511957600,"0","0","0","0","0"
"50",2012-07-11,21.647142,21.702143,21.329287,21.586786,18.400967,469322000,"0","0","0","0","0"
"51",2012-07-12,21.437143,21.5525,21.167143,21.389286,18.232611,428041600,"1","1","1","1","1"
"52",2012-07-13,21.53393,21.685356,21.428572,21.606071,18.4174,311427200,"1","1","1","1","1"
"53",2012-07-16,21.611429,21.843571,21.607857,21.675358,18.476465,301260400,"1","1","1","1","1"
"54",2012-07-17,21.813929,21.839287,21.541071,21.67643,18.477383,293624800,"0","0","0","0","0"
"55",2012-07-18,21.663929,21.726429,21.555714,21.652143,18.456673,252700000,"1","1","1","1","1"
"56",2012-07-19,21.831429,21.976786,21.642857,21.940001,18.702047,436861600,"0","1","0","0","0"
"57",2012-07-20,21.893929,21.944286,21.560715,21.582144,18.396997,397471200,"0","0","0","0","0"
"58",2012-07-23,21.228571,21.639286,20.989643,21.565357,18.382698,487975600,"1","1","0","1","1"
"59",2012-07-24,21.692142,21.774286,21.375357,21.46143,18.294106,565132400,"0","0","0","0","0"
"60",2012-07-25,20.51643,20.742857,20.357143,20.534643,17.504097,877312800,"1","1","0","1","1"
"61",2012-07-26,20.705713,20.728571,20.370001,20.531429,17.501358,406632800,"1","0","1","1","1"
"62",2012-07-27,20.536072,20.922501,20.413929,20.898571,17.81432,403936400,"1","1","1","1","1"
"63",2012-07-30,21.104286,21.408571,20.99357,21.251072,18.114798,379142400,"1","1","1","1","1"
"64",2012-07-31,21.543928,21.84643,21.525715,21.812857,18.593674,462327600,"1","1","0","1","1"
"65",2012-08-01,21.996786,22.014286,21.535713,21.671785,18.473413,384501600,"0","0","1","0","0"
"66",2012-08-02,21.530001,21.810356,21.4375,21.706785,18.50325,332158400,"1","1","1","1","1"
"67",2012-08-03,21.915358,22.070715,21.841429,21.989286,18.744061,344920800,"1","1","1","1","1"
"68",2012-08-06,22.04607,22.316786,21.973572,22.233929,18.952597,302103200,"1","1","0","1","1"
"69",2012-08-07,22.241785,22.321428,22.072857,22.175358,18.90267,290446800,"0","0","0","0","0"
"70",2012-08-08,22.121071,22.281429,22.039286,22.137857,18.870707,244706000,"0","0","1","1","0"
"71",2012-08-09,22.066071,22.204643,22.064285,22.168928,18.978329,221642400,"0","1","1","1","0"
"72",2012-08-10,22.096786,22.205713,22.09643,22.203571,19.007986,194938800,"1","1","1","1","1"
"73",2012-08-13,22.263929,22.5,22.258928,22.5,19.261751,278832400,"1","1","1","1","1"
"74",2012-08-14,22.566786,22.807501,22.5075,22.560356,19.313416,340169200,"0","0","0","0","0"
"75",2012-08-15,22.546429,22.642857,22.419643,22.529642,19.287123,257342400,"1","0","1","1","1"
"76",2012-08-16,22.543215,22.741428,22.517857,22.726429,19.455591,254534000,"1","1","1","1","1"
"77",2012-08-17,22.857143,23.149643,22.814644,23.146786,19.815456,442761200,"1","1","1","1","1"
"78",2012-08-20,23.214643,23.755358,23.210714,23.755358,20.336433,613384800,"1","1","0","1","1"
"79",2012-08-21,23.957857,24.102858,23.22607,23.430714,20.058512,812719600,"0","0","1","0","0"
"80",2012-08-22,23.372143,23.892857,23.146786,23.888214,20.450169,565322800,"0","1","0","1","0"
"81",2012-08-23,23.789642,23.924999,23.612499,23.665358,20.259382,420128800,"0","0","1","0","0"
"82",2012-08-24,23.553928,23.91,23.4125,23.686428,20.277422,437340400,"1","1","1","1","1"
"83",2012-08-27,24.285357,24.316786,24.055,24.13143,20.658377,427008400,"0","0","0","0","0"
"84",2012-08-28,24.106428,24.146429,23.952499,24.1,20.63147,267416800,"1","1","0","0","1"
"85",2012-08-29,24.116072,24.202499,24.021429,24.0525,20.590807,202806800,"0","0","0","0","0"
"86",2012-08-30,23.951429,23.983929,23.673214,23.709642,20.297295,302699600,"1","0","1","0","1"
"87",2012-08-31,23.830357,23.878571,23.473213,23.758572,20.339182,338321200,"1","0","1","1","1"
"88",2012-09-04,23.777143,24.112143,23.732143,24.106071,20.636675,367892000,"1","1","0","1","1"
"89",2012-09-05,24.127501,24.155357,23.914286,23.936787,20.491755,336375200,"1","0","1","1","1"
"90",2012-09-06,24.041786,24.224644,23.957144,24.1525,20.676416,391196400,"1","1","1","1","1"
"91",2012-09-07,24.21607,24.374287,24.134644,24.30143,20.803911,329666400,"1","1","0","0","1"
"92",2012-09-10,24.301786,24.403214,23.646429,23.669287,20.262756,487998000,"1","0","0","0","1"
"93",2012-09-11,23.753929,23.932142,23.446428,23.592501,20.197016,503983200,"1","1","1","1","1"
"94",2012-09-12,23.816071,23.924999,23.428572,23.92107,20.478296,712233200,"1","1","1","1","1"
"95",2012-09-13,24.191786,24.482143,24.098928,24.392143,20.881571,598360000,"1","1","1","1","1"
"96",2012-09-14,24.64143,24.892143,24.567499,24.688572,21.135334,600474000,"1","1","1","1","1"
"97",2012-09-17,24.976786,24.992857,24.807501,24.992144,21.395214,398031200,"1","1","1","1","1"
"98",2012-09-18,24.995714,25.083214,24.872143,25.068214,21.460331,373503200,"0","1","1","1","0"
"99",2012-09-19,25.009287,25.1425,24.984644,25.075001,21.466145,326874800,"0","0","0","0","0"
"100",2012-09-20,24.969999,25.002144,24.772142,24.953571,21.362194,336568400,"1","1","1","1","1"
"101",2012-09-21,25.086071,25.18107,24.977142,25.003214,21.404696,571589200,"0","0","0","0","0"
"102",2012-09-24,24.530714,24.825714,24.392857,24.67107,21.12035,639766400,"0","1","0","0","0"
"103",2012-09-25,24.580713,24.742144,24.035713,24.055,20.592955,518789600,"0","0","0","0","0"
